Year,Name,姓名,Gender,Whether or Not Eng Name,English Name,Political Affiliation,Whether or Not Pro-Beijing,FC/GC,Constituency
2004,SIN Chung-kai,單仲偕,1,0,,Democratic,0,FC,Information Technology
2004,Philip WONG Yu-hong,黃宜弘,1,1,Philip,Independent,1,FC,Commercial - Second
2004,WONG Yung-kan,黃容根,1,0,,DAB,1,FC,Agriculture and Fisheries
2004,Jasper TSANG Yok-sing,曾鈺成,1,1,Jasper,DAB,1,GC,Kowloon West
2004,Howard YOUNG,楊孝華,1,1,Howard,Liberal,1,FC,Tourism
2004,YEUNG Sum,楊森,1,0,,Democratic,0,GC,Hong Kong Island
2004,LAU Chin-shek,劉千石,1,0,,Independent,0,GC,Kowloon West
2004,LAU Kong-wah,劉江華,1,0,,DAB,1,GC,New Territories East
2004,LAU Wong-fat,劉皇發,1,0,,Liberal,1,FC,District Council (First)
2004,Miriam LAU Kin-yee,劉健儀,2,1,Miriam,Liberal,1,FC,Transport
2004,Emily LAU Wai-hing,劉慧卿,2,1,Emily,Frontier,0,GC,New Territories East
2004,CHOY So-yuk,蔡素玉,2,0,,DAB,1,GC,Hong Kong Island
2004,Andrew CHENG Kar-foo,鄭家富,1,1,Andrew,Democratic,0,GC,New Territories East
2004,Timothy FOK Tsun-ting,霍震霆,1,1,Timothy,Independent,1,FC,"Sports, Performing Arts, Culture and Publication"
2004,TAM Yiu-chung,譚耀宗,1,0,,DAB,1,GC,New Territories West
2004,Abraham SHEK Lai-him,石禮謙,1,1,Abraham,Breakfast Group,1,FC,Real Estate and Construction
2004,LI Fung-ying,李鳳英,2,0,,FLU,1,FC,Labour
2004,Tommy CHEUNG Yu-yan,張宇人,1,1,Tommy,Liberal,1,FC,Catering
2004,Albert CHAN Wai-yip,陳偉業,1,1,Albert,LSD,0,GC,New Territories West
2004,Frederick FUNG Kin-kee,馮檢基,1,1,Frederick,ADPL,0,GC,Kowloon West
2004,Audrey EU Yuet-mee,余若薇,2,1,Audrey,Civic Party,0,GC,Hong Kong Island
